,inputs,policies,labels
7183,The information is view or editied .,{decision: allow; subject: none; action: view; resource: information; condition: none; purpose: none | decision: allow; subject: none; action: edit; resource: none; condition: none; purpose: none},7
7184,"After the user modifies the criteria, the user chooses to click the ""Cancel"" button to cancel the modifications of the filter (i.e., repopulate the user interface with the values of the filtering criteria from the previously saved filter), to click the ""Test Search"" button to search (i.e., displaying the message inbox  including only the messages satisfying the specified filtering criteria), or to click the ""Save"" button to save the modified filter.",{decision: allow; subject: planners; action: modify; resource: criteria; condition: none; purpose: none | decision: allow; subject: user; action: click; resource: “test search” button; condition: none; purpose: search | decision: allow; subject: user; action: click; resource: “save” button; condition: none; purpose: save the modified filter | decision: allow; subject: user; action: click; resource: “cancel” button; condition: none; purpose: cancel the modifications of the filter},1
7185,The administrator shall not be permitted to read or write all medical parts of its state register for security purposes.,{decision: deny; subject: administrator; action: read; resource: medical parts of its state register; condition: none; purpose: security},10
7186,"The pharmacy system should not read medical records, even if it can read patient orders.",{decision: deny; subject: pharmacy system; action: read; resource: medical records; condition: none; purpose: none},10
7187,"Loggin failures, valid authentication and log outs are also logged.",{decision: allow; subject: none; action: log; resource: loggin failures; condition: none; purpose: none | decision: allow; subject: software tester; action: log; resource: valid authentication; condition: none; purpose: none | decision: allow; subject: none; action: log; resource: logouts; condition: none; purpose: none},1
7188,"The iTrust user (LHCP, UAP, or patient) has been authenticated in the iTrust Medical Records system (UC3).",{decision: allow; subject: none; action: authenticate; resource: uap; condition: none; purpose: none | decision: allow; subject: board of directors; action: authenticate; resource: lhcp; condition: none; purpose: none | decision: allow; subject: none; action: authenticate; resource: patient; condition: none; purpose: none},1
7189,"If the Student selected “Create a Schedule”, the Create  a Schedule subflow is executed.",{decision: allow; subject: subject outside my hierarchy; action: execute; resource: create a schedule subflow; condition: student selected “create a schedule”; purpose: none},1
7190,An administrator must never be required to read or edit a patient record.,{decision: deny; subject: administrator; action: read; resource: patient record; condition: none; purpose: none},10
7191,"Although one can keep the medical records of the past if no subjects are admitted, she should not make new entries into the system later.",{decision: deny; subject: she; action: make; resource: new entries into the system; condition: none; purpose: none},10
7192,"This includes adding, modifying, and deleting professors from the system.",{decision: allow; subject: none; action: delete; resource: grade that was previously assigned for the offering; condition: none; purpose: none | decision: allow; subject: none; action: add; resource: professors; condition: none; purpose: none | decision: allow; subject: none; action: modify; resource: professors; condition: none; purpose: none},3
7193," ""In order to prevent data leakage writing to Resource S is restricted for all subjects.""",{decision: allow; subject: all subjects; action: monitoring; resource: s; condition: none; purpose: prevent data leakage},2
7194,To prevent unauthorized access only authorized personnel should be granted entry to the restricted area.,{decision: allow; subject: nurses; action: be granted entry; resource: restricted area; condition: none; purpose: prevent unauthorized access},1
7195,The highest and lowest classification given to a paper are taken into account.,{decision: allow; subject: none; action: take; resource: lowest classification given to a paper; condition: none; purpose: none | decision: allow; subject: none; action: take; resource: highest classification given to a paper; condition: none; purpose: none},11
7196,A sub-reviewer may not resign if he has already submitted his review.,{decision: deny; subject: sub-reviewer; action: specify; resource: none; condition: he has already submitted his review; purpose: none},2
7197,"When the use case starts, if it is determined that registration for the current semester has been closed, a message is displayed to the Student, and the use case terminates.",{decision: allow; subject: none; action: display; resource: message; condition: none; purpose: none | decision: allow; subject: none; action: terminate; resource: use case; condition: it is determined that registration for the current semester has been closed; purpose: none},8
7198,The health care personnel enters a MID  of a patient and confirms their selection .,{decision: allow; subject: health care personnel; action: confirm; resource: selection; condition: none; purpose: none},10
7199,"An HCP identifies chronic patients who need an office visit, older patients who need a flu shot, or any patient who is overdue for an immunization.",{decision: allow; subject: hcp; action: identify; resource: any patient who is overdue for an immunization; condition: none; purpose: none | decision: allow; subject: hcp; action: identify; resource: chronic patients who need an office visit; condition: none; purpose: none},10
7200,"The user can choose a influenza diagnosis  and type in the desired zip code  and a week (which may be selected by start and end date, start date only, calendar control, dropdown, or any other suitable means) within the last year .",{decision: allow; subject: user; action: choose; resource: influenza diagnosis; condition: none; purpose: none | decision: allow; subject: user; action: type in; resource: zip code; condition: none; purpose: recover the data | decision: allow; subject: user; action: type in; resource: week; condition: none; purpose: none},5
7201,"Anyone can access their owner's account, but not change the account",{decision: allow; subject: anyone; action: access; resource: owners account; condition: none; purpose: none},10
7202,All members of Faculty can Assign both InternalGrades and ExternalGrades.,{decision: allow; subject: members of faculty; action: assign; resource: externalgrades; condition: none; purpose: none},10
7203,The user (patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,{decision: allow; subject: patient; action: authenticate; resource: himself; condition: none; purpose: none},10
7204,The LHCP is presented with an option to approve or reject each pending appointment request.,{decision: deny; subject: lhcp; action: reject; resource: pending appointment request; condition: none; purpose: none | decision: allow; subject: lhcp; action: approve; resource: pending appointment request; condition: none; purpose: none},0
7205,The course offerings not marked as “enrolled in” are marked as “selected” in the schedule.,{decision: deny; subject: none; action: mark; resource: course offerings not marked as “enrolled in”; condition: none; purpose: none},0
7206,"Senior caregivers can view current medical records of participants to prescribe medicine (relevant to the year in question), but are not normally able to view prior hospital information.",{decision: deny; subject: senior caregivers; action: view; resource: prior hospital information; condition: none; purpose: none | decision: allow; subject: users; action: view; resource: current medical records; condition: none; purpose: prescribe medicine},1
7207,"The system would prevent students from taking any schedules shorter than their schedules, and professors from getting assigned course names.",{decision: deny; subject: students; action: taking; resource: schedules shorter than their schedules; condition: none; purpose: none | decision: deny; subject: professors; action: detect; resource: course names; condition: none; purpose: none},2
7208,The user (LHCP) selects a patient from the list of requested reports.,{decision: allow; subject: user; action: select; resource: patient; condition: none; purpose: none},11
7209,"If the system is unable to communicate with the Course Catalog System, the system will display an error message to the Student.",{decision: allow; subject: system; action: display; resource: error message; condition: conflicting reviews exist; purpose: none},4
7210,A doctor then has the sole right to examine the dental records of the resident (but not to private notes to protect the privacy).,{decision: allow; subject: doctor; action: examine; resource: dental records of the resident; condition: none; purpose: none | decision: deny; subject: doctor; action: access; resource: private private notes; condition: none; purpose: protect privacy},11
7211,The Student also selects any course offerings to delete from the existing schedule.,{decision: allow; subject: guest users; action: select; resource: any course offerings; condition: none; purpose: delete from the existing schedule},1
7212,The administrator shall be allowed to assign a LHCP to multiple hospitals.,{decision: deny; subject: administrator; action: assign; resource: lhcp; condition: none; purpose: none},0
7213,The LHCP is not able to remove any past appointments.,{decision: allow; subject: lhcp; action: remove; resource: none; condition: none; purpose: none},7
7214,The doctor now has a temporary right to a resident's medical records (but not even the private notes against the resident and the former doctor).,{decision: deny; subject: doctor; action: have; resource: private notes against the resident; condition: none; purpose: none | decision: deny; subject: doctor; action: have; resource: private notes against the former doctor; condition: none; purpose: none},10
7215,Only the manager is allowed to add a new resident to the system and to start or update the care plan of a resident.,{decision: allow; subject: manager; action: update; resource: care plan of a resident; condition: none; purpose: none | decision: allow; subject: manager; action: add; resource: new resident; condition: none; purpose: none},10
7216,LHCPs can edit or delete future appointments .,{decision: allow; subject: lhcps; action: edit; resource: future appointments; condition: none; purpose: none},10
7217,Only Professors can enter grades for students.,{decision: allow; subject: professors; action: enter; resource: grades; condition: resident is admitted; purpose: none},4
7218,"In the first step, authors must fill in a webform shown by figures 1 and 2, on which they state their names and contact information, the title of their paper, an abstract of the paper, and indicate which conference topics their paper covers.",{decision: allow; subject: authors; action: fill in; resource: security settings of each patient; condition: none; purpose: none},3
7219,The HCP enters a patient as a new user of iTrust Medical Records system.,{decision: allow; subject: hcp; action: enter; resource: none; condition: none; purpose: none},7
7220,"The HCP can view a list of laboratory procedures and results, sorted by the date of the last status update, most recent first.",{decision: allow; subject: hcp; action: view; resource: list of laboratory procedures; condition: none; purpose: none | decision: allow; subject: hcp; action: view; resource: results; condition: the patient is under 16 years of age; purpose: none},4
7221,Administrator: The administrator assigns medical identification numbers and passwords to LHCPs.,{decision: allow; subject: administrator; action: assign; resource: passwords; condition: none; purpose: none},10
7222,"After a message is sent, the patient or personal representative is directed to his or her message outbox.",{decision: allow; subject: none; action: direct; resource: patient; condition: none; purpose: none},10
7223,"An admin creates a LHCP, an ER, a Laboratory Technician (LT), or a public health agent (PHA) .",{decision: allow; subject: admin; action: create; resource: lhcp; condition: none; purpose: none | decision: allow; subject: admin; action: create; resource: laboratory technician (lt); condition: none; purpose: none | decision: allow; subject: admin; action: create; resource: er; condition: none; purpose: none | decision: allow; subject: admin; action: create; resource: public health agent (pha); condition: none; purpose: none},11
7224,System presents a listing of all his patients to view weight or pedometer data reported during the current date.,{decision: allow; subject: none; action: present; resource: listing of all his patients; condition: none; purpose: view weight or pedometer data reported during the current date},6
7225,The LHCP clicks this number to view the weight or pedometer monitoring details of his or her patients for the current date.,{decision: allow; subject: lhcp; action: click; resource: number; condition: none; purpose: view the weight or pedometer monitoring details of his or her patients},11
7226,The HR manager should be able to review and approve leave requests submitted by employees.,{decision: allow; subject: hr manager; action: approve; resource: leave requests; condition: none; purpose: none},10
7227,"If an emergency, only administrators, not data owners, can make changes to the security tag of a resource to preserve the consistency of the tags.",{decision: allow; subject: administrators; action: change; resource: security tag of a resource; condition: emergency; purpose: preserve consistency of the tags | decision: deny; subject: data owners; action: change; resource: security tag of a resource; condition: none; purpose: preserve consistency of the tags},8
7228,A patient or patient representative wishes to reply to a message.,{decision: allow; subject: patient; action: reply; resource: message; condition: none; purpose: none | decision: allow; subject: patient representative; action: reply; resource: message; condition: until they register for the current semester; purpose: none},4
7229,The system cancels the course offering for each schedule that contains it.,{decision: allow; subject: patient whose height_ weight_ or pedometer data type is specified to be under monitoring; action: cancel; resource: course offerings; condition: none; purpose: none},1
7230,The HCP enters a MID  or name of a patient and confirms their selection.,{decision: allow; subject: anyone; action: confirm; resource: selection; condition: none; purpose: none | decision: allow; subject: hcp; action: enter; resource: name of a patient; condition: none; purpose: none | decision: allow; subject: hcp; action: enter; resource: mid; condition: none; purpose: none},1
7231,"For each patient from the monitoring list, the LHCP can edit blood pressure, glucose levels, height, weight and pedometer readings.",{decision: allow; subject: lhcp; action: edit; resource: blood pressure; condition: none; purpose: none | decision: allow; subject: lhcp; action: edit; resource: weight; condition: none; purpose: none | decision: allow; subject: lhcp; action: edit; resource: patients office visit information; condition: none; purpose: none | decision: allow; subject: lhcp; action: edit; resource: pedometer readings; condition: none; purpose: none | decision: allow; subject: lhcp; action: edit; resource: glucose levels; condition: none; purpose: none},3
7232,All email notifications should be executed through the fake email utility.,{decision: allow; subject: none; action: execute; resource: all email notifications; condition: none; purpose: none},11
7233,Professors will be able to access the system to sign up to teach courses as well as record grades.,{decision: allow; subject: professors; action: access; resource: system; condition: none; purpose: record grades},10
7234,"The patient, UAP, or personal representative tries to enter more than one weight data point or more than one pedometer data point for the day and is told additional data cannot be entered.",{decision: allow; subject: personal representative; action: enter; resource: more than one pedometer data point; condition: none; purpose: none | decision: allow; subject: uap; action: enter; resource: more than one pedometer data point; condition: none; purpose: none | decision: allow; subject: patient; action: enter; resource: more than one weight data point; condition: in the delete a professor sub-flow; purpose: none | decision: allow; subject: patient; action: enter; resource: more than one pedometer data point; condition: none; purpose: none | decision: allow; subject: uap; action: enter; resource: more than one weight data point; condition: none; purpose: none | decision: allow; subject: personal representative; action: enter; resource: more than one weight data point; condition: none; purpose: none},4
7235,"A user (a patient, patient representative, or LHCP) views the number of unread messages from his or her message inbox.",{decision: allow; subject: lhcps; action: view; resource: number of unread messages; condition: none; purpose: none | decision: allow; subject: user; action: view; resource: number of unread messages; condition: none; purpose: none | decision: allow; subject: patient; action: view; resource: number of unread messages; condition: none; purpose: none | decision: deny; subject: patient representative; action: view; resource: number of unread messages; condition: none; purpose: none},0
7236,Pharmacy System may get reports and status information of the medicine dispenser.,{decision: allow; subject: pharmacy system; action: get; resource: reports; condition: none; purpose: none},10
7237,"This includes adding, modifying, and deleting professors from the system.",{decision: allow; subject: none; action: delete; resource: professors; condition: none; purpose: none | decision: allow; subject: none; action: add; resource: professors; condition: none; purpose: none},10
7238,A patient whose at least one physiologic data type is specified to be under monitoring chooses to report their physiologic data.,{decision: allow; subject: patient whose at least one physiologic data type is specified to be under monitoring; action: report; resource: physiologic data; condition: none; purpose: none},11
7239,"For example, the manager should also be aware of the repeated attempts of a health technician to conduct information and risk management.",{decision: allow; subject: windows administrator; action: aware; resource: repeated attempts of a health technician; condition: none; purpose: condict information and risk management},1
7240,The system retrieves and displays the professor information.,{decision: allow; subject: system; action: retrieve; resource: professor information; condition: none; purpose: none | decision: allow; subject: system; action: display; resource: professor information; condition: none; purpose: safety of the premises},5
7241,The HCP can add the prescription to the list of medications (UC37).,{decision: allow; subject: hcp; action: add; resource: prescription; condition: patient or personal health representative has not taken his office visit satisfaction test for an office visit yet; purpose: none},4
7242,"The new system could provide course data within the university database, but would not update it.",{decision: allow; subject: new system; action: provide; resource: none; condition: none; purpose: none | decision: deny; subject: new system; action: update; resource: course data; condition: none; purpose: none},7
7243,Pharmacy systems should never read medical records.,{decision: deny; subject: pharmacy system; action: read; resource: any action; condition: none; purpose: none},3
7244,The user (patient or personal health representative) can choose to view a list of their own prescriptions or  the prescriptions for whom the user is a person health representative by choosing one patient from a a list of these patients.,{decision: allow; subject: personal health representative; action: view; resource: prescriptions for whom the user is a person health representative; condition: none; purpose: none | decision: allow; subject: user; action: view; resource: prescriptions for whom the user is a person health representative; condition: none; purpose: none | decision: allow; subject: personal health representative; action: view; resource: list of their own prescriptions; condition: none; purpose: none | decision: allow; subject: patient; action: view; resource: prescriptions for whom the user is a person health representative; condition: none; purpose: none | decision: allow; subject: user; action: view; resource: list of their own prescriptions; condition: none; purpose: none},10
7245,"Managers can read and set ordinary employees’ bonuses, but not those of other managers or the director.",{decision: allow; subject: managers; action: read; resource: ordinary employees’ bonuses; condition: none; purpose: none | decision: allow; subject: managers; action: set; resource: ordinary employees’ bonuses; condition: none; purpose: none | decision: deny; subject: managers; action: set; resource: other managers’ bonuses; condition: none; purpose: none | decision: deny; subject: managers; action: set; resource: director’s bonuses; condition: none; purpose: none | decision: deny; subject: managers; action: read; resource: other managers’ bonuses; condition: none; purpose: none},10
7246,System has usually restricted through their system authority to delete an existing entry or modify the appointment type name on every outgoing entry.,{decision: deny; subject: none; action: modify; resource: appointment type name on every outgoing entry; condition: none; purpose: none},10
7247,The HCP notes about an office visit.,{decision: allow; subject: hcp; action: note; resource: office visit; condition: none; purpose: none},11
7248,The reviewers’ reviews are compared to the other reviews to detect conflicts.,{decision: allow; subject: none; action: compare; resource: confirmation containing the name of the patient; condition: none; purpose: detect conflicts},3
7249,System displays the details for the laboratory procedure in a new page.,{decision: allow; subject: system; action: monitoring; resource: details for the laboratory procedure; condition: none; purpose: none},2
7250,A patient whose at least one physiologic data type is specified to be under monitoring chooses to report their physiologic data.,{decision: allow; subject: patient; action: report; resource: physiologic data; condition: no alternates are available; purpose: none},4
7251,The HCP is notified of drug allergy.,{decision: allow; subject: none; action: notify; resource: hcp of drug allergy; condition: none; purpose: none},11
7252,The HCP may also add a patient referral (UC33).,{decision: deny; subject: hcp; action: add; resource: patient referral; condition: none; purpose: none},0
7253,"A patient or personal health representative can answer any of the following questions relative to a previous (in UC9, S1) office visit according to Data Format 6.13.",{decision: allow; subject: personal health representative; action: answer; resource: questions; condition: none; purpose: none | decision: allow; subject: patient; action: answer; resource: questions; condition: none; purpose: none},11
7254,The schedule is saved in the system.,{decision: allow; subject: none; action: save; resource: none; condition: none; purpose: none},7
7255,CyberChair supports PCs by using these patterns in its implementation.,{decision: allow; subject: none; action: support; resource: pcs; condition: none; purpose: none},6
7256,A patient or patient representative wishes to reply to a message.,{decision: allow; subject: patient; action: reply; resource: message; condition: none; purpose: none | decision: deny; subject: patient representative; action: reply; resource: message; condition: none; purpose: none},0
7257,Note that the administrator is not allowed to delete an existing entry or change the reason ID number in an existing entry via the system interface.,{decision: deny; subject: administrator; action: change; resource: reason id number in an existing entry; condition: none; purpose: none | decision: allow; subject: administrator; action: delete; resource: existing entry; condition: none; purpose: none},0
7258,"The data in the database is analyzed according to the malaria epidemic heuristic to determine if an epidemic is occurring in the region defined by the zip code that match the first three numbers in the provided zip code (e.g. if zip code 27695 is provided, all data with zip code 276xx is analyzed, where each x is any digit from 0-9).",{decision: allow; subject: none; action: analyze; resource: data in the database; condition: none; purpose: support reviewers with making choices},5
7259,"Further, a high or low priority should be chosen, to indicate how eager they are to review the paper.",{decision: allow; subject: none; action: choose; resource: high or low priority; condition: none; purpose: none},9
7260,The system administrator can modify system configurations as needed.,{decision: allow; subject: none; action: modify; resource: system configurations; condition: none; purpose: none},6
7261,Students cannot register for new offers until they register for the current semester.,{decision: deny; subject: students; action: register; resource: “view full calendar link; condition: until students register for the current semester; purpose: none},3
7262,HCP should not enter or edit demographic parameters .,{decision: deny; subject: hcp; action: edit; resource: demographic parameters; condition: none; purpose: none | decision: deny; subject: privacy policy; action: enter; resource: demographic parameters; condition: none; purpose: none},1
7263,His or her appointments shall be displayed on the calendar .,{decision: allow; subject: none; action: display; resource: his or her appointments; condition: patient or municipal representative has ever completed a satisfaction survey with a visit to an office; purpose: none},4
7264,"The HCP selects a procedure code, a priority from 1 to 3 (1=most important, 3=not as important), and Lab Technician (listed with his or her specialty and the number of pending lab procedures in his or her priority queue, grouped by priority).",{decision: allow; subject: hcp; action: support; resource: priority; condition: none; purpose: none | decision: allow; subject: hcp; action: select; resource: procedure code; condition: none; purpose: none | decision: allow; subject: hcp; action: select; resource: lab technician; condition: none; purpose: none},2
7265,The HCP is not able to change the patient's security question and password.,{decision: deny; subject: hcp; action: change; resource: patients password; condition: none; purpose: none},10
7266,Pharmacy system should not read patient order even as it can understand individual medicine orders.,{decision: allow; subject: pharmacy system; action: understand; resource: individual medicine orders; condition: none; purpose: none},10
7267,The HCP does not have the ability to edit the patient's security question and password.,{decision: deny; subject: hcp; action: edit; resource: patient’s security question; condition: none; purpose: none | decision: deny; subject: hcp; action: edit; resource: patient’s password; condition: none; purpose: none},11
7268,"Through the Personal Health Records page, an LHCP chooses a chronic disease and a patient.",{decision: allow; subject: lhcp; action: choose; resource: chronic disease; condition: user is not prepared; purpose: none | decision: allow; subject: lhcp; action: choose; resource: patient; condition: none; purpose: none},4
7269,Know that windows administrator is not introduced into the system interface to delete an existing entry by insert the reason id number in other existing instance.,{decision: deny; subject: administrator; action: delete; resource: existing entry; condition: insert reason id number in other existing instance; purpose: none},11
7270,His or her personal webpage will then be updated automatically.,{decision: allow; subject: none; action: update; resource: his or her personal webpage; condition: her resident is admitted; purpose: none},4
7271,"The colored boxes indicate the state of the reviews, which is determined each time a review is submitted by any of the reviewers.",{decision: allow; subject: none; action: submit; resource: reviews; condition: none; purpose: none},6
7272,"The LHCP enters the text of the response message (up to 1000 characters), then clicks the send button.",{decision: allow; subject: lhcp; action: enter; resource: text of the response message; condition: none; purpose: none | decision: allow; subject: none; action: click; resource: send button; condition: none; purpose: none},6
7273,Students cannot register for new offers until they register for the current semester.,{decision: deny; subject: students; action: register; resource: new offers; condition: until they register for the current semester; purpose: quickly identify the papers that match their interest and expertise},5
7274,"If the Registrar selected “Delete a Student”, the Delete a Student  subflow is executed.",{decision: allow; subject: none; action: execute; resource: delete a student  subflow; condition: registrar selected “delete a student”; purpose: none},11
7275,An LHCP can schedule an appointment with a patient .,{decision: allow; subject: none; action: schedule; resource: appointment; condition: none; purpose: none},6
7276,Data Owners can transfer ownership of information to other users.,{decision: allow; subject: data owners; action: transfer; resource: ownership of information; condition: none; purpose: none},11
7277,The system shall store (1) reason id number for the reason ; and (2) up to 80 alphanumeric characters giving the name of the reason.,{decision: allow; subject: system; action: store; resource: reason id number for the reason; condition: none; purpose: none | decision: allow; subject: system; action: store; resource: name of the reason; condition: none; purpose: indicate which courses professors will be teaching},5
7278,"The doctors do also add the notes of a resident, though, on the basis of doctor - patient agreements, be not visible to a care staff.",{decision: allow; subject: doctors; action: add; resource: notes of a resident; condition: none; purpose: none | decision: deny; subject: care staff; action: view; resource: none; condition: none; purpose: none},7
7279,"Requests for students to Receive ExternalGrades, and for faculty to Assign and View both InternalGrades and ExternalGrades, will succeed.",{decision: allow; subject: faculty; action: assign; resource: internalgrades; condition: none; purpose: none | decision: allow; subject: students; action: receive; resource: externalgrades; condition: none; purpose: none | decision: allow; subject: faculty; action: assign; resource: externalgrades; condition: none; purpose: none | decision: allow; subject: faculty; action: view; resource: internalgrades; condition: none; purpose: none},10
7280,"The HCP must provide instructions (can neither be empty nor the default form field value), or else they cannot add the prescription.",{decision: allow; subject: hcp; action: provide; resource: instructions; condition: none; purpose: none | decision: deny; subject: hcp; action: add; resource: mid of the patient; condition: none; purpose: none},3
7281,"A person may read any record for which he or she is the designated parent or guardian, and for which the patient is under 16 years of age.",{decision: allow; subject: person; action: read; resource: any record; condition: person is the designated parent or guardian; purpose: none | decision: allow; subject: person; action: consume; resource: any record; condition: the patient is under 16 years of age; purpose: none},2
7282,"The representative opens the message to which he or she wishes to reply, and then clicks the reply link above the message text.",{decision: allow; subject: representative; action: click; resource: reply link above the message text; condition: none; purpose: none},10
7283,"The system shall enable the administrator to (1) add a new entry for an appointment type, including its type name with up to 30 alpha characters and duration in the unit of minutes , and (2) modify the duration in an existing entry .",{decision: allow; subject: administrator; action: add; resource: new entry; condition: none; purpose: none | decision: allow; subject: pc board; action: modify; resource: duration in an existing entry; condition: none; purpose: none},1
7284," ""Accessing Resource H is only allowed for subjects Alice and Bob and Carol.""",{decision: allow; subject: carol; action: access; resource: h; condition: none; purpose: none | decision: allow; subject: bob; action: access; resource: h; condition: none; purpose: none | decision: allow; subject: alice; action: renew; resource: h; condition: none; purpose: none},2
7285,The LHCP is presented with an option to approve or reject each pending appointment request.,{decision: allow; subject: lhcp; action: reject; resource: private notes linking another resident to his regular doctor; condition: none; purpose: none | decision: allow; subject: lhcp; action: approve; resource: pending appointment request; condition: none; purpose: none},3
7286,The doctor then has temporary access to the resident’s medical records (but not to the private notes of the resident’s usual doctor).,{decision: allow; subject: none; action: temporary access; resource: resident’s medical records; condition: none; purpose: none | decision: deny; subject: doctor; action: temporary access; resource: private notes of the resident’s usual doctor; condition: none; purpose: none},6
7287,Users can view an owner's account but not make any changes,{decision: deny; subject: users; action: make; resource: changes; condition: none; purpose: none | decision: allow; subject: pc researchers; action: view; resource: owners account; condition: none; purpose: none},1
7288,Financial consultants can collect and use customer name for the purpose of confirming identity.,{decision: allow; subject: managers; action: use; resource: customer name; condition: none; purpose: confirming identity | decision: allow; subject: financial consultants; action: collect; resource: customer name; condition: none; purpose: confirming identity},1
7289,The user can choose any diagnosis code  and type in the desired patient zip code  and a start and end date .,{decision: allow; subject: user; action: type in; resource: start and end date; condition: none; purpose: none | decision: allow; subject: user; action: choose; resource: diagnosis code; condition: none; purpose: none},10
7290,"LHCPs, patients and representatives may reply to messages.",{decision: allow; subject: lhcps; action: reply; resource: messages; condition: none; purpose: none | decision: allow; subject: patients; action: reply; resource: messages; condition: none; purpose: none},10
7291,"The patient views the list sorted by the role of the accessor relative to the patient (personal health representative, DLHCP, LHCP, UAP, Emergency Responder; any order is fine as long as the list is sorted by role) as well as by date for each role type.",{decision: allow; subject: patient; action: view; resource: list; condition: none; purpose: to solve problems},5
7292," ""Only Bob can write to Resource B with the purpose of editing.""",{decision: allow; subject: bob; action: write; resource: b; condition: none; purpose: none},9
7293,Authors must submit their paper in two steps.,{decision: allow; subject: none; action: submit; resource: paper; condition: none; purpose: none},6
7294,"The list of in transit lab procedures is sorted by timestamp, from oldest to most recent.",{decision: allow; subject: none; action: consider; resource: list of in transit lab procedures; condition: none; purpose: none},2
7295,The administrator has chosen the same drug from both lists.,{decision: allow; subject: uc32; action: choose; resource: same drug; condition: none; purpose: none},1
7296,"Upon reading the report, the public health agent can choose to send a ""fake email"" message to the adverse event reporter to gain more information about the report.",{decision: allow; subject: public health agent; action: send; resource: input data; condition: upon reading the report; purpose: gain more information about the report},3
7297,A patient or personal representative for a patient sends a message to an LHCP.,{decision: allow; subject: patient; action: send; resource: message; condition: none; purpose: none},10
7298,"Following the patterns Experts Review Papers and Champions Review Papers , papers should be matched to domain experts in the PC.",{decision: allow; subject: none; action: match; resource: papers; condition: none; purpose: none},11
7299,An LHCP views the number of submitted physiologic data monitoring reports of his or her patients for the current date.,{decision: allow; subject: lhcp; action: view; resource: none; condition: none; purpose: none},7
7300,The HCP is still not allowed to enter the security key and password of its patient.,{decision: deny; subject: hcp; action: enter; resource: security key of its patient; condition: none; purpose: none | decision: deny; subject: hcp; action: enter; resource: password of its patient; condition: none; purpose: none},11
7301,The reviewers are asked to indicated their expertise of the conference topics and their willingness to review papers on those topics.,{decision: allow; subject: reviewers; action: indicate; resource: willingness to review papers on those topics; condition: none; purpose: none | decision: allow; subject: reviewers; action: indicate; resource: expertise of the conference topics; condition: none; purpose: view the weight or pedometer monitoring details of his or her patients},5
7302,"In addition, the reviewers must indicate their overall expertise on the topics that a paper covers.",{decision: allow; subject: reviewers; action: schedule; resource: overall expertise on the topics that a paper covers; condition: none; purpose: none},2
7303,"Although she is prohibitted to enter into the latest data report if her resident was admitted, she should later add medical procedures to the records.",{decision: deny; subject: she; action: enter; resource: latest data report; condition: none; purpose: none | decision: allow; subject: she; action: add; resource: medical procedures; condition: none; purpose: none},8
7304,An LHCP can schedule an appointment with a patient .,{decision: allow; subject: lhcp; action: schedule; resource: appointment; condition: none; purpose: solve problems},5
7305,"The administrator stores the ICD-9CM code, a classification and the name of the diagnosis.",{decision: allow; subject: administrator; action: store; resource: name of the diagnosis; condition: none; purpose: none | decision: allow; subject: administrator; action: specify; resource: icd-9cm code; condition: none; purpose: none | decision: allow; subject: administrator; action: store; resource: classification; condition: none; purpose: none},2
7306,The user can select a laboratory procedure from the calendar to read the laboratory procedure's details .,{decision: allow; subject: user; action: consume; resource: laboratory procedure; condition: none; purpose: read the laboratory procedure’s details},2
7307,The patient has authenticated himself or herself in the iTrust Medical Records system (UC3).,{decision: allow; subject: patient; action: authenticate; resource: patient; condition: none; purpose: none},11
7308,"The patient looks for an hospital with experience in physical services, as specified by LOINC codes of the office visits (UC15) and is given a list of the 5 most experienced Hospitals in that particular field.",{decision: allow; subject: patient; action: look; resource: medical records from the past; condition: none; purpose: none},3
7309,"The HCP provides the dosage in milligrams, the start and end date for the prescription, and any special instructions.",{decision: allow; subject: hcp; action: provide; resource: start date; condition: none; purpose: none | decision: allow; subject: hcp; action: provide; resource: dosage in milligrams; condition: none; purpose: none | decision: allow; subject: hcp; action: provide; resource: end date; condition: none; purpose: none | decision: allow; subject: hcp; action: provide; resource: special instructions; condition: none; purpose: none},11
7310,"A system must prevent students from changing their timetables that are older than their own, because professors risk altering the assigned course offerings with other lectures.",{decision: allow; subject: students; action: change; resource: timetables; condition: professors risk modifying the assigned course offerings with other lectures; purpose: none},0
7311,"Hence, it should not perform dangerous operations when anyone begins loading medicines in another medicine machine.",{decision: deny; subject: none; action: perform; resource: dangerous operations; condition: anyone begins loading medicines in another medicine machine; purpose: none},6
7312,The administrator stores hospital Id number for the hospital and the name of the hospital.,{decision: allow; subject: administrator; action: store; resource: name of the hospital; condition: none; purpose: none},10
7313,This physician will then have temporary access to the medical records of the registered physicians (but not to the private life of the patient and the general practitioner).,{decision: deny; subject: physician; action: temporary access; resource: private life of the general practitioner; condition: none; purpose: none | decision: allow; subject: physician; action: temporary access; resource: medical records of the registered physicians; condition: none; purpose: none | decision: deny; subject: patients; action: temporary access; resource: private life of the patient; condition: none; purpose: none},1
7314,"The new system could provide course data within the university database, but would not update it.",{decision: deny; subject: new system; action: update; resource: course data; condition: none; purpose: none},10
